,Player,Draft Pick,Salary,Pos,Age,Team,Games Played
201,Mike Conley,4,28530608,PG,30,MEM,12
202,Michael Kidd-Gilchrist,2,13000000,SF,24,CHO,71
203,Michael Carter-Williams,11,2700000,PG,26,CHO,52
204,Michael Beasley,2,2116955,PF,29,NYK,70
205,Meyers Leonard,11,9904495,C,25,POR,30
207,Maurice Harkless,15,10162922,SF,24,POR,59
211,Mason Plumlee,22,14041096,C,27,DEN,70
212,Marvin Williams,2,13168750,PF,31,CHO,75
213,MarShon Brooks,25,86119,SG,29,MEM,3
215,Marreese Speights,16,2116955,C,30,ORL,50
216,Marquis Teague,29,83129,PG,24,MEM,3
217,Marquese Chriss,8,3073800,PF,20,PHO,71
218,Markieff Morris,13,8000000,PF,28,WAS,69
219,Markelle Fultz,1,7026240,SG,19,PHI,10
221,Mario Hezonja,5,4078320,SF,22,ORL,71
222,Mario Chalmers,34,2106407,PG,31,MEM,62
223,Marcus Smart,6,4538020,SG,23,BOS,54
225,Marcus Morris,14,5000000,PF,28,BOS,52
227,Marco Belinelli,18,6306060,SG,31,TOT,76
230,Marcin Gortat,57,12782609,C,33,WAS,78
231,Marc Gasol,48,22642350,C,33,MEM,72
232,Manu Ginobili,57,2500000,SG,40,SAS,62
234,Malik Monk,11,2904480,SG,19,CHO,60
235,Malik Beasley,19,1700640,SG,21,DEN,61
238,Malcolm Brogdon,36,1312611,PG,25,MIL,46
239,Malachi Richardson,22,1504560,SG,22,TOR,1
242,Luol Deng,7,17190000,SF,32,LAL,1
244,Luke Kennard,12,2759280,SG,21,DET,69
245,Luke Babbitt,16,1974159,SF,28,ATL,37
249,Lucas Nogueira,16,2947305,C,25,TOR,47
250,Luc Mbah a Moute,37,2116955,PF,31,HOU,58
251,Lou Williams,45,7000000,SG,31,LAC,77
253,Lonzo Ball,2,6286560,PG,20,LAL,52
255,LeBron James,1,33285709,PF,33,CLE,78
256,Lauri Markkanen,7,3821640,PF,20,CHI,65
257,Larry Nance,27,1471382,C,25,TOT,62
265,Lance Stephenson,40,4180000,SG,27,IND,78
266,LaMarcus Aldridge,2,21461010,C,32,SAS,72
267,Kyrie Irving,1,18868625,PG,25,BOS,60
268,Kyle Singler,33,4666500,SF,29,OKC,12
269,Kyle O'Quinn,49,4087500,C,27,NYK,73
270,Kyle Lowry,24,28703704,PG,31,TOR,74
271,Kyle Kuzma,27,1423560,PF,22,LAL,76
272,Kyle Korver,51,7000000,SG,36,CLE,70
274,Kyle Anderson,30,2151704,SF,24,SAS,71
275,Kristaps Porzingis,4,4503600,PF,22,NYK,48
276,Kris Dunn,5,4046760,PG,23,CHI,52
277,Kosta Koufos,23,8393000,C,28,SAC,71
279,Klay Thompson,11,17826150,SG,27,GSW,69
280,Khris Middleton,39,14100000,SF,26,MIL,78
282,Kevon Looney,30,1471382,C,21,GSW,62
283,Kevin Love,5,22642350,C,29,CLE,56
284,Kevin Durant,2,25000000,PF,29,GSW,64
285,Kentavious Caldwell-Pope,8,17745894,SG,24,LAL,70
287,Kenneth Faried,22,12921348,PF,28,DEN,32
288,Kemba Walker,9,12000000,PG,27,CHO,77
289,Kelly Oubre,15,2093040,SF,22,WAS,77
290,Kelly Olynyk,13,10607169,PF,26,MIA,73
291,Kay Felder,54,1312611,PG,22,DET,1
294,Kawhi Leonard,15,18868625,SF,26,SAS,9
295,Karl-Anthony Towns,1,6216840,C,22,MIN,78
297,Jusuf Nurkic,16,2947305,C,23,POR,75
298,Justise Winslow,10,2705040,SF,21,MIA,65
299,Justin Patton,16,2247480,C,20,MIN,1
300,Justin Jackson,15,2365560,SF,22,SAC,65
302,Justin Anderson,21,1579440,SF,24,PHI,36
304,Julius Randle,7,4149242,C,23,LAL,78
305,Juan Hernangomez,15,2076840,PF,22,DEN,24
306,Jrue Holiday,17,25686667,SG,27,NOP,77
307,Josh Smith,17,5400000,PF,32,NOP,3
308,Josh Richardson,40,1471382,SF,24,MIA,78
309,Josh McRoberts,37,6021175,PF,30,DAL,2
311,Josh Jackson,4,5090040,SF,20,PHO,76
312,Josh Huestis,29,1471382,PF,26,OKC,67
313,Josh Hart,30,1394520,SG,22,LAL,59
316,Jordan Mickey,33,1471382,PF,23,MIA,23
317,Jordan Crawford,27,250000,SG,29,NOP,2
318,Jordan Clarkson,46,11562500,SG,25,LAL,53
321,Jordan Bell,38,815615,C,23,GSW,53
323,Jonathan Isaac,6,4186320,PF,20,ORL,27
324,Jonas Valanciunas,5,15460675,C,25,TOR,74
325,Jonas Jerebko,39,4000000,PF,30,UTA,70
326,Jon Leuer,40,10497319,PF,28,DET,8
327,Johnny O'Bryant,36,1524305,PF,24,CHO,36
329,John Wall,1,18063850,PG,27,WAS,39
331,John Henson,14,11422536,C,27,MIL,72
332,John Collins,19,1936920,PF,20,ATL,71
333,Joffrey Lauvergne,55,1524305,C,26,SAS,52
334,Joel Embiid,3,6100266,C,23,PHI,63
335,Joel Bolomboy,52,1312611,PF,24,MIL,6
336,Joe Young,43,1471382,PG,25,IND,50
337,Joe Johnson,10,9505000,SF,36,HOU,19
341,Joe Harris,33,1524305,SG,26,BRK,76
342,Jodie Meeks,41,3290000,SG,30,WAS,74
343,Joakim Noah,9,17765000,C,32,NYK,7
